participantNum,fileNum,name@STRING,F0semitoneFrom27.5Hz_sma3nz_amean@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevNorm@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile20.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile50.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile80.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope@NUMERIC,loudness_sma3_amean@NUMERIC,loudness_sma3_stddevNorm@NUMERIC,loudness_sma3_percentile20.0@NUMERIC,loudness_sma3_percentile50.0@NUMERIC,loudness_sma3_percentile80.0@NUMERIC,loudness_sma3_pctlrange0-2@NUMERIC,loudness_sma3_meanRisingSlope@NUMERIC,loudness_sma3_stddevRisingSlope@NUMERIC,loudness_sma3_meanFallingSlope@NUMERIC,loudness_sma3_stddevFallingSlope@NUMERIC,jitterLocal_sma3nz_amean@NUMERIC,jitterLocal_sma3nz_stddevNorm@NUMERIC,shimmerLocaldB_sma3nz_amean@NUMERIC,shimmerLocaldB_sma3nz_stddevNorm@NUMERIC,HNRdBACF_sma3nz_amean@NUMERIC,HNRdBACF_sma3nz_stddevNorm@NUMERIC,logRelF0-H1-H2_sma3nz_amean@NUMERIC,logRelF0-H1-H2_sma3nz_stddevNorm@NUMERIC,logRelF0-H1-A3_sma3nz_amean@NUMERIC,logRelF0-H1-A3_sma3nz_stddevNorm@NUMERIC,F1frequency_sma3nz_amean@NUMERIC,F1frequency_sma3nz_stddevNorm@NUMERIC,F1bandwidth_sma3nz_amean@NUMERIC,F1bandwidth_sma3nz_stddevNorm@NUMERIC,F1amplitudeLogRelF0_sma3nz_amean@NUMERIC,F1amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,F2frequency_sma3nz_amean@NUMERIC,F2frequency_sma3nz_stddevNorm@NUMERIC,F2amplitudeLogRelF0_sma3nz_amean@NUMERIC,F2amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,F3frequency_sma3nz_amean@NUMERIC,F3frequency_sma3nz_stddevNorm@NUMERIC,F3amplitudeLogRelF0_sma3nz_amean@NUMERIC,F3amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,alphaRatioV_sma3nz_amean@NUMERIC,alphaRatioV_sma3nz_stddevNorm@NUMERIC,hammarbergIndexV_sma3nz_amean@NUMERIC,hammarbergIndexV_sma3nz_stddevNorm@NUMERIC,slopeV0-500_sma3nz_amean@NUMERIC,slopeV0-500_sma3nz_stddevNorm@NUMERIC,slopeV500-1500_sma3nz_amean@NUMERIC,slopeV500-1500_sma3nz_stddevNorm@NUMERIC,alphaRatioUV_sma3nz_amean@NUMERIC,hammarbergIndexUV_sma3nz_amean@NUMERIC,slopeUV0-500_sma3nz_amean@NUMERIC,slopeUV500-1500_sma3nz_amean@NUMERIC,loudnessPeaksPerSec@NUMERIC,VoicedSegmentsPerSec@NUMERIC,MeanVoicedSegmentLengthSec@NUMERIC,StddevVoicedSegmentLengthSec@NUMERIC,MeanUnvoicedSegmentLength@NUMERIC,StddevUnvoicedSegmentLength@NUMERIC,class@NUMERIC
10,0,unknown,27.92543,0.2341468,23.88995,30.34848,32.50033,8.610376,382.2287,546.5486,112.4987,238.0189,0.7529749,0.7370648,0.2910018,0.5996704,1.112433,0.8214316,12.52283,8.158346,8.465065,6.530141,0.0507663,1.566481,1.358838,0.8845862,4.795626,1.211778,8.35151,1.612616,26.91589,0.3186328,594.4705,0.3412475,1292.865,0.1620049,-89.49641,-0.9779692,1658.951,0.1740244,-95.45471,-0.8417473,2759.899,0.1022133,-99.02646,-0.7826341,-17.87836,-0.4371157,27.63602,0.3376353,0.02850186,1.301253,-0.01846111,-0.6110705,-7.430309,15.6512,-0.003527902,-0.005477867,2.586771,2.984585,0.1931868,0.2171032,0.1267816,0.1227978,
10,1,unknown,27.96764,0.2432682,21.31105,30.71822,32.79702,11.48597,345.8376,424.1653,153.9496,248.2635,0.7231671,0.6741564,0.2830871,0.6131334,1.100686,0.817599,10.5534,6.092942,8.052274,5.036934,0.05972143,1.676984,1.339483,0.8495014,4.777801,1.266183,10.62414,1.669407,27.89933,0.3529299,576.1846,0.3373894,1309.498,0.1553154,-95.8756,-0.9287969,1628.198,0.1713325,-101.4572,-0.8043577,2739.58,0.09995712,-104.9637,-0.7483971,-18.46458,-0.4404596,28.34273,0.3350477,0.03204327,1.126739,-0.01802,-0.5976444,-7.694818,15.51943,-0.001138622,-0.006490048,2.962298,3.056638,0.1766667,0.2102021,0.1463333,0.1265214,
10,2,unknown,30.11015,0.1927092,29.37389,31.81099,33.75395,4.380058,576.8564,661.2728,78.18086,101.4761,0.7555808,0.6953535,0.2919237,0.6589359,1.13343,0.8415066,9.486112,6.353792,8.974875,12.06444,0.04338586,1.778698,1.262992,0.9087402,6.472578,0.8334479,10.40823,1.210112,28.90823,0.3469826,564.7844,0.3455951,1291.628,0.173151,-94.75653,-0.9431743,1617.993,0.172603,-101.035,-0.8029856,2725.062,0.0946222,-104.6693,-0.7453386,-19.36849,-0.4133857,29.28056,0.3182059,0.04064871,0.8859321,-0.01896921,-0.5429221,-7.610319,15.61833,-0.0006131555,-0.006352906,1.382488,2.901418,0.1885227,0.2094177,0.1419048,0.1437713,
10,3,unknown,28.57158,0.2645615,20.17927,31.5544,34.09322,13.91395,381.3787,547.65,76.93044,95.02082,0.7913181,0.6888859,0.2848788,0.6982056,1.189237,0.9043581,12.20042,7.631899,9.875282,6.448942,0.0545244,1.687883,1.325426,0.8606405,4.872652,1.346772,11.52708,1.439717,27.65184,0.4145993,568.0095,0.3402762,1303.603,0.1549676,-87.99486,-0.9937161,1608.149,0.1671533,-93.55247,-0.8528965,2723.523,0.08717387,-97.64996,-0.7839807,-18.65943,-0.427578,29.11121,0.3176101,0.03277826,1.183484,-0.01734657,-0.5956001,-7.810499,16.46902,-0.002702032,-0.00539598,3.172008,3.079948,0.1904255,0.2097106,0.1239535,0.1135913,
10,4,unknown,29.1865,0.2280465,27.77788,31.30969,33.8798,6.101919,396.8851,538.5737,78.44433,90.18801,0.8549676,0.6812747,0.2896058,0.7880319,1.272793,0.9831876,12.64429,7.893045,9.916977,6.387513,0.0563716,1.907091,1.309334,0.8969206,5.603067,1.016256,9.762465,1.131628,27.71633,0.3248713,580.2046,0.3340348,1286.164,0.1502285,-92.85358,-0.9567599,1640.761,0.1770948,-98.4036,-0.8199732,2747.771,0.09755807,-101.9,-0.7631005,-18.58483,-0.4235612,28.22303,0.338708,0.04075981,0.9142365,-0.01945364,-0.5829827,-7.232888,15.13021,0.001925252,-0.006349734,3.081511,3.020246,0.1854945,0.202963,0.1306897,0.1489025,
10,5,unknown,30.75094,0.2074588,30.10633,32.57705,34.41742,4.311092,630.1305,931.5521,53.44449,38.28411,0.9151111,0.7613711,0.2989882,0.789992,1.370598,1.071609,13.73493,9.210548,11.01212,10.43406,0.0482388,1.723153,1.347591,0.8553364,6.338728,0.8934348,11.22954,1.183525,28.78729,0.4336092,587.6657,0.3283052,1296.71,0.1498734,-96.83821,-0.9256181,1638.013,0.1665895,-102.4092,-0.7970746,2750.192,0.09205146,-106.2104,-0.737568,-19.15781,-0.4404907,29.2508,0.3483598,0.04784972,0.81282,-0.01877989,-0.5503641,-7.108832,15.21974,0.004478143,-0.005889411,1.760325,2.851324,0.1892857,0.2032813,0.1552632,0.1525526,
10,6,unknown,29.00056,0.2400322,23.32642,31.86425,33.5841,10.25768,392.1072,502.6459,65.27872,71.97395,0.7588584,0.7195243,0.2684154,0.6400405,1.187591,0.9191752,12.53545,10.4799,8.28494,6.011378,0.04755518,1.767231,1.30195,0.8976755,5.646336,1.125716,11.62,1.440171,29.53174,0.3794881,586.3287,0.338761,1309.511,0.144015,-96.84698,-0.9191773,1641.664,0.1628144,-102.9328,-0.7893509,2758.942,0.08831247,-106.8729,-0.7281947,-19.33878,-0.4381915,30.25621,0.3297001,0.03824939,1.000601,-0.01752667,-0.5901885,-7.965932,16.96119,0.0007021458,-0.004539877,2.363413,3.01353,0.177551,0.1947633,0.1466292,0.1565782,
10,7,unknown,31.08013,0.1827658,29.95146,32.45691,34.56852,4.61706,482.2707,690.199,104.6393,171.043,0.9435926,0.7111158,0.311116,0.83099,1.426438,1.115322,15.07137,10.54867,11.49369,8.546791,0.03706008,1.554618,1.272715,0.9497991,6.816507,0.8113143,9.693298,1.420887,28.79181,0.417432,606.804,0.3185235,1297.863,0.1710952,-92.13212,-0.957988,1646.627,0.1673096,-97.43185,-0.8290681,2766.106,0.09128022,-102.2981,-0.7506097,-19.07781,-0.4217947,30.3179,0.3190904,0.04490462,0.845734,-0.01884654,-0.5661724,-7.391519,15.79084,0.0004649723,-0.00543936,2.955327,2.858127,0.1984337,0.2341171,0.1406493,0.1418279,
10,8,unknown,31.4404,0.1348467,30.50688,32.27359,33.93394,3.427065,399.3213,438.6555,84.59542,278.3548,0.9814422,0.6517839,0.3948437,0.885735,1.429471,1.034627,14.16684,8.662127,10.68955,6.556086,0.03732154,1.686592,1.276141,0.8976076,7.141914,0.6629523,10.61633,1.091923,27.84991,0.3459924,581.6586,0.3467217,1279.686,0.1664219,-92.08525,-0.9652514,1635.048,0.1707059,-97.57107,-0.8266312,2744.045,0.0967304,-101.2151,-0.7674083,-19.06639,-0.4340243,28.55453,0.3471555,0.04394835,0.8055992,-0.0204345,-0.5222258,-6.420517,13.49683,0.003751743,-0.005716739,3.461249,2.753678,0.2067123,0.2279513,0.1434783,0.1709719,
10,9,unknown,30.1139,0.1891806,28.61903,31.55268,34.06296,5.44393,332.8333,479.8287,84.60823,118.4809,0.8755892,0.7134762,0.3076036,0.7712666,1.302353,0.994749,13.05973,8.315951,9.479599,6.082047,0.05509933,1.899147,1.318871,0.8834441,6.206685,0.8912429,8.730598,1.360531,28.22994,0.3299273,593.2041,0.3374634,1270.511,0.1675213,-96.45163,-0.9275894,1657.12,0.1843652,-101.9068,-0.8061895,2754.395,0.1016418,-105.707,-0.7452447,-18.38189,-0.4642891,28.53779,0.3540587,0.04449342,0.7868508,-0.01951048,-0.5833892,-6.52126,14.20713,-0.0009014491,-0.005462904,2.879079,2.660257,0.2040964,0.2106904,0.1625974,0.1655012,
